unit_id,year,match_method,tl_source,match_confidence,taxa_count,catch_tonnes
LME_017,1992,exact_sea_around_us,Sea Around Us exploited organisms,high,137,217436.3793271599
LME_017,1993,exact_2020_supplement,2020 supplement MeanTL,high,151,210409.8809797659
LME_017,1993,exact_sea_around_us,Sea Around Us exploited organisms,high,137,216400.2372131619
LME_017,1994,exact_2020_supplement,2020 supplement MeanTL,high,153,232598.4837496461
LME_017,1994,exact_sea_around_us,Sea Around Us exploited organisms,high,139,225583.942226393
LME_017,1995,exact_2020_supplement,2020 supplement MeanTL,high,152,232205.9002762852
LME_017,1995,exact_sea_around_us,Sea Around Us exploited organisms,high,137,248868.2582795883
LME_017,1996,exact_2020_supplement,2020 supplement MeanTL,high,154,235289.6844169163
LME_017,1996,exact_sea_around_us,Sea Around Us exploited organisms,high,139,254557.4491391279
LME_017,1997,exact_2020_supplement,2020 supplement MeanTL,high,153,250329.3651573462
LME_017,1997,exact_sea_around_us,Sea Around Us exploited organisms,high,139,261858.6427682551
LME_017,1998,exact_2020_supplement,2020 supplement MeanTL,high,153,248431.4041418503
LME_017,1998,exact_sea_around_us,Sea Around Us exploited organisms,high,142,252340.09057106418
LME_017,1999,exact_2020_supplement,2020 supplement MeanTL,high,153,233668.83847912122
LME_017,1999,exact_sea_around_us,Sea Around Us exploited organisms,high,141,249056.7807433361
LME_017,2000,exact_2020_supplement,2020 supplement MeanTL,high,153,228411.9510083988
LME_017,2000,exact_sea_around_us,Sea Around Us exploited organisms,high,143,258355.2699125458
LME_017,2001,exact_2020_supplement,2020 supplement MeanTL,high,154,254324.5528841519
LME_017,2001,exact_sea_around_us,Sea Around Us exploited organisms,high,145,280175.2625367373
LME_017,2002,exact_2020_supplement,2020 supplement MeanTL,high,156,251615.2885515317
LME_017,2002,exact_sea_around_us,Sea Around Us exploited organisms,high,146,281659.2353471282
LME_017,2003,exact_2020_supplement,2020 supplement MeanTL,high,156,250983.6810197979
LME_017,2003,exact_sea_around_us,Sea Around Us exploited organisms,high,145,293842.696904705
LME_017,2004,exact_2020_supplement,2020 supplement MeanTL,high,157,267304.7667747923
LME_017,2004,exact_sea_around_us,Sea Around Us exploited organisms,high,145,275173.3423816662
LME_017,2005,exact_2020_supplement,2020 supplement MeanTL,high,156,241969.9657006935
LME_017,2005,exact_sea_around_us,Sea Around Us exploited organisms,high,148,276129.7153254235
LME_017,2006,exact_2020_supplement,2020 supplement MeanTL,high,157,243861.9231871493
LME_017,2006,exact_sea_around_us,Sea Around Us exploited organisms,high,148,246371.04630527212
LME_017,2007,exact_2020_supplement,2020 supplement MeanTL,high,158,239689.5155643388
LME_017,2007,exact_sea_around_us,Sea Around Us exploited organisms,high,148,270969.5171087649
LME_017,2008,exact_2020_supplement,2020 supplement MeanTL,high,158,229063.5168709006
LME_017,2008,exact_sea_around_us,Sea Around Us exploited organisms,high,147,245222.6867212064
LME_017,2009,exact_2020_supplement,2020 supplement MeanTL,high,156,236896.1842568613
LME_017,2009,exact_sea_around_us,Sea Around Us exploited organisms,high,147,234532.1800498374
LME_017,2010,exact_2020_supplement,2020 supplement MeanTL,high,158,240589.1798357838
LME_017,2010,exact_sea_around_us,Sea Around Us exploited organisms,high,146,227413.8938544688
LME_017,2011,exact_2020_supplement,2020 supplement MeanTL,high,154,239079.512547629
LME_017,2011,exact_sea_around_us,Sea Around Us exploited organisms,high,148,226068.5890761502
LME_017,2012,exact_2020_supplement,2020 supplement MeanTL,high,155,253953.9424752426
LME_017,2012,exact_sea_around_us,Sea Around Us exploited organisms,high,148,246831.6466987308
LME_017,2013,exact_2020_supplement,2020 supplement MeanTL,high,152,243835.10487484132
LME_017,2013,exact_sea_around_us,Sea Around Us exploited organisms,high,149,224317.124143395
LME_017,2014,exact_2020_supplement,2020 supplement MeanTL,high,153,236383.9367067718
LME_017,2014,exact_sea_around_us,Sea Around Us exploited organisms,high,151,217765.5684519166
LME_017,2015,exact_2020_supplement,2020 supplement MeanTL,high,155,222281.5059458719
LME_017,2015,exact_sea_around_us,Sea Around Us exploited organisms,high,149,210081.5203127619
LME_017,2016,exact_2020_supplement,2020 supplement MeanTL,high,160,232866.90560072698
LME_017,2016,exact_sea_around_us,Sea Around Us exploited organisms,high,152,220079.9721085478
LME_017,2017,exact_2020_supplement,2020 supplement MeanTL,high,159,247415.3761255819
LME_017,2017,exact_sea_around_us,Sea Around Us exploited organisms,high,153,225997.7858647079
LME_017,2018,exact_2020_supplement,2020 supplement MeanTL,high,157,230166.4977084602
LME_017,2018,exact_sea_around_us,Sea Around Us exploited organisms,high,153,220781.1488228084
LME_017,2019,exact_2020_supplement,2020 supplement MeanTL,high,158,246642.6611292279
LME_017,2019,exact_sea_around_us,Sea Around Us exploited organisms,high,153,206583.3697235693
LME_018,1950,exact_2020_supplement,2020 supplement MeanTL,high,12,108066.3505080551
LME_018,1950,exact_sea_around_us,Sea Around Us exploited organisms,high,14,147738.2237488633
LME_018,1951,exact_2020_supplement,2020 supplement MeanTL,high,13,105684.97227106911
LME_018,1951,exact_sea_around_us,Sea Around Us exploited organisms,high,14,126398.0236503814
LME_018,1952,exact_2020_supplement,2020 supplement MeanTL,high,15,260401.6328081454
LME_018,1952,exact_sea_around_us,Sea Around Us exploited organisms,high,15,400046.1758079832
LME_018,1953,exact_2020_supplement,2020 supplement MeanTL,high,16,261947.996229972
LME_018,1953,exact_sea_around_us,Sea Around Us exploited organisms,high,15,415598.4448411218
LME_018,1954,exact_2020_supplement,2020 supplement MeanTL,high,16,273649.3242269265
LME_018,1954,exact_sea_around_us,Sea Around Us exploited organisms,high,16,469854.2985419312
LME_018,1955,exact_2020_supplement,2020 supplement MeanTL,high,16,285151.72292061837
LME_018,1955,exact_sea_around_us,Sea Around Us exploited organisms,high,16,528330.8623741164
LME_018,1956,exact_2020_supplement,2020 supplement MeanTL,high,16,309916.3947453533
LME_018,1956,exact_sea_around_us,Sea Around Us exploited organisms,high,16,525336.3432134913
LME_018,1957,exact_2020_supplement,2020 supplement MeanTL,high,16,292810.4065104245
LME_018,1957,exact_sea_around_us,Sea Around Us exploited organisms,high,16,511209.9421610543
LME_018,1958,exact_2020_supplement,2020 supplement MeanTL,high,16,352194.4858925317
LME_018,1958,exact_sea_around_us,Sea Around Us exploited organisms,high,16,713496.8234884124
LME_018,1959,exact_2020_supplement,2020 supplement MeanTL,high,18,315824.1548342083
LME_018,1959,exact_sea_around_us,Sea Around Us exploited organisms,high,16,674799.1400311223
LME_018,1960,exact_2020_supplement,2020 supplement MeanTL,high,18,368026.2169557085
LME_018,1960,exact_sea_around_us,Sea Around Us exploited organisms,high,18,678980.7297151346
LME_018,1961,exact_2020_supplement,2020 supplement MeanTL,high,19,506150.22840106493
LME_018,1961,exact_sea_around_us,Sea Around Us exploited organisms,high,19,948084.3033639028
LME_018,1962,exact_2020_supplement,2020 supplement MeanTL,high,21,669306.983718548
LME_018,1962,exact_sea_around_us,Sea Around Us exploited organisms,high,22,1142981.0473063258
LME_018,1963,exact_2020_supplement,2020 supplement MeanTL,high,20,671347.7463453166
LME_018,1963,exact_sea_around_us,Sea Around Us exploited organisms,high,22,1009288.8891184272
LME_018,1964,exact_2020_supplement,2020 supplement MeanTL,high,20,550143.2797743034
LME_018,1964,exact_sea_around_us,Sea Around Us exploited organisms,high,22,722665.9925627208
LME_018,1965,exact_2020_supplement,2020 supplement MeanTL,high,22,546868.4032350798
LME_018,1965,exact_sea_around_us,Sea Around Us exploited organisms,high,23,650196.9962333128
LME_018,1966,exact_2020_supplement,2020 supplement MeanTL,high,22,561345.4705218467
LME_018,1966,exact_sea_around_us,Sea Around Us exploited organisms,high,23,579935.1388880119
LME_018,1967,exact_2020_supplement,2020 supplement MeanTL,high,19,664402.4239465652
LME_018,1967,exact_sea_around_us,Sea Around Us exploited organisms,high,23,633568.962166859
LME_018,1968,exact_2020_supplement,2020 supplement MeanTL,high,20,582862.8554537762
LME_018,1968,exact_sea_around_us,Sea Around Us exploited organisms,high,23,516512.070732326
LME_018,1969,exact_2020_supplement,2020 supplement MeanTL,high,19,327696.77178298973
LME_018,1969,exact_sea_around_us,Sea Around Us exploited organisms,high,23,241543.3689912251
LME_018,1970,exact_2020_supplement,2020 supplement MeanTL,high,20,205216.85755628382
LME_018,1970,exact_sea_around_us,Sea Around Us exploited organisms,high,22,127975.2483104045
LME_018,1971,exact_2020_supplement,2020 supplement MeanTL,high,19,222088.5523838147
LME_018,1971,exact_sea_around_us,Sea Around Us exploited organisms,high,22,153129.47338270792
LME_018,1972,exact_2020_supplement,2020 supplement MeanTL,high,20,197837.8342854165
LME_018,1972,exact_sea_around_us,Sea Around Us exploited organisms,high,22,131768.4637280558
LME_018,1973,exact_2020_supplement,2020 supplement MeanTL,high,21,139343.6078945079
LME_018,1973,exact_sea_around_us,Sea Around Us exploited organisms,high,22,69823.35968931961
LME_018,1974,exact_2020_supplement,2020 supplement MeanTL,high,19,141530.819629167
LME_018,1974,exact_sea_around_us,Sea Around Us exploited organisms,high,21,73425.2713578882
LME_018,1975,exact_2020_supplement,2020 supplement MeanTL,high,20,187624.0360541408
LME_018,1975,exact_sea_around_us,Sea Around Us exploited organisms,high,23,83015.0745964725
LME_018,1976,exact_2020_supplement,2020 supplement MeanTL,high,23,187945.659201168
LME_018,1976,exact_sea_around_us,Sea Around Us exploited organisms,high,26,63870.2739131171
LME_018,1977,exact_2020_supplement,2020 supplement MeanTL,high,20,170513.7149859175
LME_018,1977,exact_sea_around_us,Sea Around Us exploited organisms,high,22,65532.819407037605
LME_018,1978,exact_2020_supplement,2020 supplement MeanTL,high,21,146845.9202931578
LME_018,1978,exact_sea_around_us,Sea Around Us exploited organisms,high,24,26926.2513294945
LME_018,1979,exact_2020_supplement,2020 supplement MeanTL,high,22,133781.15686546869
LME_018,1979,exact_sea_around_us,Sea Around Us exploited organisms,high,22,76357.0720464435
LME_018,1980,exact_2020_supplement,2020 supplement MeanTL,high,24,117474.6311171542
LME_018,1980,exact_sea_around_us,Sea Around Us exploited organisms,high,26,46458.148748714
LME_018,1981,exact_2020_supplement,2020 supplement MeanTL,high,23,125295.39014656229
LME_018,1981,exact_sea_around_us,Sea Around Us exploited organisms,high,26,46927.0879593806
LME_018,1982,exact_2020_supplement,2020 supplement MeanTL,high,24,135734.3035865712
LME_018,1982,exact_sea_around_us,Sea Around Us exploited organisms,high,26,52709.8675900384
LME_018,1983,exact_2020_supplement,2020 supplement MeanTL,high,19,147088.9071859671
LME_018,1983,exact_sea_around_us,Sea Around Us exploited organisms,high,21,26218.2560759321
LME_018,1984,exact_2020_supplement,2020 supplement MeanTL,high,20,106224.36032771632
LME_018,1984,exact_sea_around_us,Sea Around Us exploited organisms,high,24,24070.1883347569
LME_018,1985,exact_2020_supplement,2020 supplement MeanTL,high,19,97366.2790137278
LME_018,1985,exact_sea_around_us,Sea Around Us exploited organisms,high,24,41620.5281445743
LME_018,1986,exact_2020_supplement,2020 supplement MeanTL,high,19,119646.3049453085
LME_018,1986,exact_sea_around_us,Sea Around Us exploited organisms,high,23,19478.0810067893
LME_018,1987,exact_2020_supplement,2020 supplement MeanTL,high,18,117534.7632548056
LME_018,1987,exact_sea_around_us,Sea Around Us exploited organisms,high,23,32307.7493567237
LME_018,1988,exact_2020_supplement,2020 supplement MeanTL,high,24,177327.4167451943
LME_018,1988,exact_sea_around_us,Sea Around Us exploited organisms,high,24,22628.0829546932
LME_018,1989,exact_2020_supplement,2020 supplement MeanTL,high,25,239904.605412316
LME_018,1989,exact_sea_around_us,Sea Around Us exploited organisms,high,26,18960.0288639128
LME_018,1990,exact_2020_supplement,2020 supplement MeanTL,high,19,214494.21485229567
LME_018,1990,exact_sea_around_us,Sea Around Us exploited organisms,high,25,18146.3552247687
LME_018,1991,exact_2020_supplement,2020 supplement MeanTL,high,21,146367.1615475949
LME_018,1991,exact_sea_around_us,Sea Around Us exploited organisms,high,25,19749.4270806032
LME_018,1992,exact_2020_supplement,2020 supplement MeanTL,high,22,140412.74679435889
LME_018,1992,exact_sea_around_us,Sea Around Us exploited organisms,high,25,22832.5360141477
LME_018,1993,exact_2020_supplement,2020 supplement MeanTL,high,22,106662.4977765461
LME_018,1993,exact_sea_around_us,Sea Around Us exploited organisms,high,27,42711.489836115004
LME_018,1994,exact_2020_supplement,2020 supplement MeanTL,high,22,110780.38092753271
LME_018,1994,exact_sea_around_us,Sea Around Us exploited organisms,high,26,30288.6106177216
LME_018,1995,exact_2020_supplement,2020 supplement MeanTL,high,25,108455.555266359
LME_018,1995,exact_sea_around_us,Sea Around Us exploited organisms,high,31,31709.5970963838
LME_018,1996,exact_2020_supplement,2020 supplement MeanTL,high,24,106618.5181329138
LME_018,1996,exact_sea_around_us,Sea Around Us exploited organisms,high,32,27547.9826508644
LME_018,1997,exact_2020_supplement,2020 supplement MeanTL,high,22,114302.73840121411
LME_018,1997,exact_sea_around_us,Sea Around Us exploited organisms,high,30,25367.1486283068
LME_018,1998,exact_2020_supplement,2020 supplement MeanTL,high,22,113049.24370579739
LME_018,1998,exact_sea_around_us,Sea Around Us exploited organisms,high,32,21217.689779255
LME_018,1999,exact_2020_supplement,2020 supplement MeanTL,high,21,138811.4075914896
LME_018,1999,exact_sea_around_us,Sea Around Us exploited organisms,high,25,20919.6316095526
LME_018,2000,exact_2020_supplement,2020 supplement MeanTL,high,24,132951.8363756122
LME_018,2000,exact_sea_around_us,Sea Around Us exploited organisms,high,25,33999.982645113
LME_018,2001,exact_2020_supplement,2020 supplement MeanTL,high,23,158331.7328424523
LME_018,2001,exact_sea_around_us,Sea Around Us exploited organisms,high,24,24036.803201622402
LME_018,2002,exact_2020_supplement,2020 supplement MeanTL,high,22,204110.2064463736
LME_018,2002,exact_sea_around_us,Sea Around Us exploited organisms,high,23,46340.3928740258
LME_018,2003,exact_2020_supplement,2020 supplement MeanTL,high,25,193434.35946881442
LME_018,2003,exact_sea_around_us,Sea Around Us exploited organisms,high,26,54916.6591381316
LME_018,2004,exact_2020_supplement,2020 supplement MeanTL,high,29,210115.7043221217
LME_018,2004,exact_sea_around_us,Sea Around Us exploited organisms,high,32,37992.248120313205
LME_018,2005,exact_2020_supplement,2020 supplement MeanTL,high,28,226716.1205325769
LME_018,2005,exact_sea_around_us,Sea Around Us exploited organisms,high,33,34194.3256943456
LME_018,2006,exact_2020_supplement,2020 supplement MeanTL,high,27,226888.60582063138
LME_018,2006,exact_sea_around_us,Sea Around Us exploited organisms,high,30,37487.051650284804
LME_018,2007,exact_2020_supplement,2020 supplement MeanTL,high,27,199958.25011084552
LME_018,2007,exact_sea_around_us,Sea Around Us exploited organisms,high,31,46687.2067937682
LME_018,2008,exact_2020_supplement,2020 supplement MeanTL,high,26,190234.8245370074
LME_018,2008,exact_sea_around_us,Sea Around Us exploited organisms,high,34,59792.6177657716
LME_018,2009,exact_2020_supplement,2020 supplement MeanTL,high,25,155828.8276732767
LME_018,2009,exact_sea_around_us,Sea Around Us exploited organisms,high,33,64584.0330007364
LME_018,2010,exact_2020_supplement,2020 supplement MeanTL,high,26,172011.8307497001
LME_018,2010,exact_sea_around_us,Sea Around Us exploited organisms,high,31,61522.480927904406
LME_018,2011,exact_2020_supplement,2020 supplement MeanTL,high,25,208988.1723221017
LME_018,2011,exact_sea_around_us,Sea Around Us exploited organisms,high,33,16002.6581668581
LME_018,2012,exact_2020_supplement,2020 supplement MeanTL,high,25,164415.8922677415
LME_018,2012,exact_sea_around_us,Sea Around Us exploited organisms,high,31,54069.0045302515
